SamplingEventID,PapaemClass,celltype.aml,n,prop
AML138-AML-1,AML-MR,GMP,55,0.00796063106093501
AML138-AML-1,AML-MR,Monocytes,155,0.02243450571718049
AML138-AML-1,AML-MR,Megakaryocytic cells,2,2.894774931249095e-4
AML138-AML-1,AML-MR,Erythroid cells,17,0.00246055869156173
AML138-AML-1,AML-MR,Dendritic cells,56,0.00810536980749746
AML138-AML-1,AML-MR,NK-cells,85,0.01230279345780865
AML138-AML-1,AML-MR,T-cells,64,0.0092632797799971
AML138-AML-1,AML-MR,B-cells,135,0.01953973078593139
AML151-AML-1,AML-MR,AML Immature,3350,0.8813470139436991
AML151-AML-1,AML-MR,HSC,1,2.6308866087871614e-4
AML151-AML-1,AML-MR,LMPP,173,0.04551433833201789
AML151-AML-1,AML-MR,GMP,25,0.0065772165219679
AML151-AML-1,AML-MR,Monocytes,34,0.00894501446987634
AML151-AML-1,AML-MR,Megakaryocytic cells,15,0.00394632991318074
AML151-AML-1,AML-MR,Erythroid cells,124,0.0326229939489608
AML151-AML-1,AML-MR,Dendritic cells,3,7.892659826361484e-4
AML151-AML-1,AML-MR,NK-cells,4,0.00105235464351486
AML151-AML-1,AML-MR,T-cells,63,0.01657458563535911
AML151-AML-1,AML-MR,B-cells,9,0.00236779794790844
AML157-AML-1,AML-MR,AML Immature,198,0.03680981595092025
AML157-AML-1,AML-MR,HSC,855,0.15895147796988288
AML157-AML-1,AML-MR,LMPP,227,0.04220115263060048
AML157-AML-1,AML-MR,GMP,134,0.02491169362335006
AML157-AML-1,AML-MR,Monocytes,1353,0.25153374233128833
AML157-AML-1,AML-MR,Megakaryocytic cells,24,0.00446179587283881
AML157-AML-1,AML-MR,Erythroid cells,1194,0.22197434467373117
AML157-AML-1,AML-MR,Dendritic cells,828,0.1539319576129392
AML157-AML-1,AML-MR,NK-cells,120,0.02230897936419408
AML157-AML-1,AML-MR,T-cells,329,0.06116378509016546
AML157-AML-1,AML-MR,B-cells,117,0.02175125488008923
AML172-AML-1,AML-MR,AML Immature,886,0.1893971782813168
AML172-AML-1,AML-MR,HSC,12,0.00256519880290722
AML172-AML-1,AML-MR,LMPP,90,0.01923899102180419
AML172-AML-1,AML-MR,GMP,823,0.17592988456605388
AML172-AML-1,AML-MR,Monocytes,1049,0.22424112868747328
AML172-AML-1,AML-MR,Megakaryocytic cells,19,0.00406156477126977
AML172-AML-1,AML-MR,Erythroid cells,909,0.19431380932022232
AML172-AML-1,AML-MR,Dendritic cells,836,0.17870884993587002
AML172-AML-1,AML-MR,NK-cells,3,6.412997007268063e-4
AML172-AML-1,AML-MR,T-cells,31,0.00662676357417699
AML172-AML-1,AML-MR,B-cells,20,0.0042753313381787
AML34-AML-1,No class-defining,AML Immature,7548,0.9680646402462486
AML34-AML-1,No class-defining,HSC,4,5.130178273695011e-4
AML34-AML-1,No class-defining,LMPP,101,0.0129537001410799
AML34-AML-1,No class-defining,Megakaryocytic cells,9,0.00115429011158137
AML34-AML-1,No class-defining,Erythroid cells,25,0.00320636142105938
AML34-AML-1,No class-defining,NK-cells,23,0.00294985250737463
AML34-AML-1,No class-defining,T-cells,40,0.00513017827369501
AML34-AML-1,No class-defining,B-cells,47,0.00602795947159163
AML37-AML-1,TP53,AML Immature,16,0.0064464141821112
AML37-AML-1,TP53,HSC,8,0.0032232070910556
AML37-AML-1,TP53,LMPP,11,0.00443190975020145
AML37-AML-1,TP53,GMP,407,0.16398066075745366
AML37-AML-1,TP53,Monocytes,272,0.1095890410958904
AML37-AML-1,TP53,Megakaryocytic cells,4,0.0016116035455278
AML37-AML-1,TP53,Erythroid cells,872,0.35132957292506045
AML37-AML-1,TP53,Dendritic cells,14,0.0056406124093473
AML37-AML-1,TP53,NK-cells,91,0.03666398066075745
AML37-AML-1,TP53,T-cells,557,0.22441579371474615
AML37-AML-1,TP53,B-cells,230,0.0926672038678485
AML48-AML-1,TP53,AML Immature,1497,0.1357946298984035
AML48-AML-1,TP53,HSC,750,0.06803338171262699
AML48-AML-1,TP53,LMPP,303,0.0274854862119013
AML48-AML-1,TP53,GMP,352,0.03193033381712627
AML48-AML-1,TP53,Monocytes,7556,0.6854136429608128
